# Title: February 2012 - January 2013 Contiguous U.S. County Palmer Z-Index
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,-0.11,-0.06,65,-0.04
AL-003,Baldwin County,Alabama,-0.01,-0.02,64,0.01
AL-005,Barbour County,Alabama,-0.24,-0.25,50,0.01
AL-007,Bibb County,Alabama,-0.08,-0.04,67,-0.04
AL-009,Blount County,Alabama,-0.18,-0.22,54,0.04
AL-011,Bullock County,Alabama,-0.31,-0.32,45,0.01
AL-013,Butler County,Alabama,0.24,0.28,89,-0.05
AL-015,Calhoun County,Alabama,-0.9,-0.9,16,-0
AL-017,Chambers County,Alabama,-1.33,-1.28,6,-0.05
AL-019,Cherokee County,Alabama,-0.78,-0.75,25,-0.03
AL-021,Chilton County,Alabama,-0.22,-0.17,57,-0.06
AL-023,Choctaw County,Alabama,-0.09,-0.12,61,0.03
AL-025,Clarke County,Alabama,0.06,0.09,84,-0.03
AL-027,Clay County,Alabama,-0.84,-0.85,20,0.01
AL-029,Cleburne County,Alabama,-0.97,-0.97,14,-0
AL-031,Coffee County,Alabama,-0.06,-0.11,65,0.05
AL-033,Colbert County,Alabama,-0.76,-0.76,19,0.01
AL-035,Conecuh County,Alabama,0.2,0.26,86,-0.07
AL-037,Coosa County,Alabama,-0.28,-0.21,56,-0.07
AL-039,Covington County,Alabama,-0.11,-0.11,64,-0
AL-041,Crenshaw County,Alabama,-0.11,-0.1,65,-0.01
AL-043,Cullman County,Alabama,-0.3,-0.32,44,0.02
AL-045,Dale County,Alabama,-0.42,-0.49,37,0.06
AL-047,Dallas County,Alabama,0.29,0.32,94,-0.02
AL-049,DeKalb County,Alabama,-0.37,-0.34,44,-0.03
AL-051,Elmore County,Alabama,-0.64,-0.58,32,-0.07
AL-053,Escambia County,Alabama,0.04,0.05,73,-0.01
AL-055,Etowah County,Alabama,-0.73,-0.74,22,0.01
AL-057,Fayette County,Alabama,-0.22,-0.21,54,-0.01
AL-059,Franklin County,Alabama,-0.46,-0.44,34,-0.01
AL-061,Geneva County,Alabama,-0.05,-0.11,67,0.06
AL-063,Greene County,Alabama,0.13,0.15,79,-0.02
AL-065,Hale County,Alabama,-0.07,-0.04,66,-0.03
AL-067,Henry County,Alabama,-0.8,-0.83,22,0.03
AL-069,Houston County,Alabama,-0.51,-0.57,33,0.06
AL-071,Jackson County,Alabama,0.16,0.2,77,-0.04
AL-073,Jefferson County,Alabama,-0.35,-0.35,48,0
AL-075,Lamar County,Alabama,-0.04,0.01,72,-0.05
AL-077,Lauderdale County,Alabama,-0.72,-0.74,19,0.02
AL-079,Lawrence County,Alabama,-0.2,-0.23,47,0.03
AL-081,Lee County,Alabama,-0.99,-0.94,11,-0.05
AL-083,Limestone County,Alabama,-0.56,-0.53,29,-0.02
