state_alpha,state_fips_code,reference_period_desc,location_desc,county_ansi,asd_code,country_name,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc,county_name,state_ansi,week_ending,begin_code,county_code,end_code,Value,class_desc,watershed_code,agg_level_desc,watershed_desc,zip_5,load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,commodity_desc,CV (%),domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"9,284,930,000",ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,2.9,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"5,764,080,000",ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,3.1,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"6,222,462,000",ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,1.0,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"4,393,838,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"2,489,489,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,1997,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"2,902,399,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2022,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"11,253,141,000",ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,3.4,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2017,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"6,694,444,000",ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,2.9,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2012,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"7,136,940,000",ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,1.1,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2007,,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"5,045,313,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,NAICS CLASSIFICATION: (111),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
