short_desc,statisticcat_desc,source_desc,group_desc,CV (%),commodity_desc,domaincat_desc,state_name,country_code,load_time,sector_desc,asd_desc,prodn_practice_desc,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,end_code,Value,state_ansi,week_ending,county_code,begin_code,county_name,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,country_name,asd_code,location_desc,state_fips_code,reference_period_desc,state_alpha,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,16.0,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"36,862,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,3.7,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"22,005,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,12.0,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"6,106,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"23,175,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"6,794,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"21,015,000",35,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,9.3,CROP TOTALS,NAICS CLASSIFICATION: (111),NEW MEXICO,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"850,101,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,6.4,CROP TOTALS,NAICS CLASSIFICATION: (111),NEW MEXICO,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"614,452,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,7.1,CROP TOTALS,NAICS CLASSIFICATION: (111),NEW MEXICO,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"587,230,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"528,482,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
