ANSI,Period,Start Year,End Year,Intercept (b0),Slope (b1),Data Points
33,2022-2026,2022,2026,,,40
35,1997-2001,1997,2001,17271918.1996,19173961.1429,39
35,2002-2006,2002,2006,,,39
35,2007-2011,2007,2011,33194948.7179,-0.0,39
35,2012-2016,2012,2016,58116736.8421,-0.0,38
35,2017-2021,2017,2021,,,39
35,2022-2026,2022,2026,46376857.152,26843545.6,38
37,1997-2001,1997,2001,6558524.7015,134217728.0,39
37,2002-2006,2002,2006,9668375.3859,67108864.0,37
37,2007-2011,2007,2011,11280959.3571,-44739242.6667,37
37,2012-2016,2012,2016,,,36
37,2017-2021,2017,2021,26942936.3958,-33554432.0,38
37,2022-2026,2022,2026,18958741.673,80530636.8,39
39,1997-2001,1997,2001,33801432.4324,-0.0,37
39,2002-2006,2002,2006,34242342.8571,-0.0,35
39,2007-2011,2007,2011,50355861.1111,0.0,36
39,2012-2016,2012,2016,63859539.245,-13421772.8,37
39,2017-2021,2017,2021,76557944.4444,0.0,36
39,2022-2026,2022,2026,94961918.9189,0.0,37
41,1997-2001,1997,2001,17494854.8817,-858993459.2,38
41,2002-2006,2002,2006,20918972.973,-0.0,37
41,2007-2011,2007,2011,,,37
41,2012-2016,2012,2016,34824886.8324,-22369621.3333,37
41,2017-2021,2017,2021,22725978.64,-44739242.6667,36
41,2022-2026,2022,2026,-85892601.133,268435456.0,37
43,1997-2001,1997,2001,7367278.0454,67108864.0,37
43,2002-2006,2002,2006,-5241860.0084,33554432.0,38
43,2007-2011,2007,2011,33235027.027,-0.0,37
43,2012-2016,2012,2016,-3343828.0421,134217728.0,38
43,2017-2021,2017,2021,23930405.6152,-13421772.8,38
43,2022-2026,2022,2026,39391404.9011,25165824.0,38
45,1997-2001,1997,2001,13814761.5289,33554432.0,36
45,2002-2006,2002,2006,18588370.7429,-22369621.3333,35
45,2007-2011,2007,2011,4179576.7005,-33554432.0,37
45,2012-2016,2012,2016,14529223.7714,-33554432.0,35
45,2017-2021,2017,2021,,,36
45,2022-2026,2022,2026,162363186.0411,-134217728.0,37
47,1997-2001,1997,2001,7215440.64,134217728.0,34
47,2002-2006,2002,2006,53209441.1765,-0.0,34
47,2007-2011,2007,2011,-17130238.1714,-134217728.0,35
47,2012-2016,2012,2016,61643729.0918,-67108864.0,34
47,2017-2021,2017,2021,107639805.5556,0.0,36
47,2022-2026,2022,2026,154668800.0,-0.0,35
49,1997-2001,1997,2001,12714699.4222,44739242.6667,36
49,2002-2006,2002,2006,5387658.0114,67108864.0,35
49,2007-2011,2007,2011,,,34
49,2012-2016,2012,2016,,,36
49,2017-2021,2017,2021,23242006.4178,-22369621.3333,36
49,2022-2026,2022,2026,29119141.6356,33554432.0,36
51,1997-2001,1997,2001,-13748428.2667,67108864.0,36
51,2002-2006,2002,2006,30903714.2857,-0.0,35
51,2007-2011,2007,2011,,,34
51,2012-2016,2012,2016,,,34
51,2017-2021,2017,2021,,,35
51,2022-2026,2022,2026,53985170.7388,33554432.0,34
53,1997-2001,1997,2001,-73251561.2424,536870912.0,34
53,2002-2006,2002,2006,,,34
53,2007-2011,2007,2011,,,34
