ANSI,Period,Start Year,End Year,Intercept (b0),Slope (b1),Data Points
181,1997-2001,1997,2001,12148831.76,67108864.0,12
181,2002-2006,2002,2006,12202180.257,-11184810.6667,11
181,2007-2011,2007,2011,39665727.2727,-0.0,11
181,2012-2016,2012,2016,,,12
181,2017-2021,2017,2021,35935018.9673,-8388608.0,11
181,2022-2026,2022,2026,37950963.4036,-4294967296.0,11
183,1997-2001,1997,2001,37214090.9091,-0.0,11
183,2002-2006,2002,2006,10250028.8582,-16777216.0,11
183,2007-2011,2007,2011,2960804.2764,-33554432.0,11
183,2012-2016,2012,2016,53765583.3891,-16777216.0,11
183,2017-2021,2017,2021,,,11
183,2022-2026,2022,2026,74562810.3758,44739242.6667,11
185,1997-2001,1997,2001,23783727.2727,0.0,11
185,2002-2006,2002,2006,9850493.12,-22369621.3333,11
185,2007-2011,2007,2011,23646968.4073,-8388608.0,11
185,2012-2016,2012,2016,30468775.6315,-22369621.3333,11
185,2017-2021,2017,2021,20691081.6873,-134217728.0,11
185,2022-2026,2022,2026,40251646.4291,33554432.0,11
187,1997-2001,1997,2001,33775500.0,0.0,10
187,2002-2006,2002,2006,17011630.9867,-22369621.3333,10
187,2007-2011,2007,2011,47955200.0,0.0,10
187,2012-2016,2012,2016,14518399.68,-536870912.0,10
187,2017-2021,2017,2021,30219099.84,-16777216.0,10
187,2022-2026,2022,2026,81590500.0,0.0,10
189,1997-2001,1997,2001,,,8
189,2002-2006,2002,2006,,,8
189,2007-2011,2007,2011,72362000.0,0.0,7
189,2012-2016,2012,2016,,,8
189,2017-2021,2017,2021,,,8
189,2022-2026,2022,2026,,,7
191,1997-2001,1997,2001,,,8
191,2002-2006,2002,2006,15374243.3371,-16777216.0,7
191,2007-2011,2007,2011,,,8
191,2012-2016,2012,2016,,,8
191,2017-2021,2017,2021,52257636.8457,-44739242.6667,7
191,2022-2026,2022,2026,9808309.8514,268435456.0,7
193,1997-2001,1997,2001,,,8
193,2002-2006,2002,2006,,,8
193,2007-2011,2007,2011,,,8
193,2012-2016,2012,2016,,,8
193,2017-2021,2017,2021,,,7
193,2022-2026,2022,2026,,,7
195,1997-2001,1997,2001,,,9
195,2002-2006,2002,2006,,,9
195,2007-2011,2007,2011,,,9
195,2012-2016,2012,2016,,,8
195,2017-2021,2017,2021,58132956.2667,-16777216.0,9
195,2022-2026,2022,2026,128916888.8889,-0.0,9
197,1997-2001,1997,2001,,,9
197,2002-2006,2002,2006,22654555.5556,-0.0,9
197,2007-2011,2007,2011,4854922.56,-33554432.0,9
197,2012-2016,2012,2016,56571333.3333,0.0,9
197,2017-2021,2017,2021,11764634.1689,-33554432.0,9
197,2022-2026,2022,2026,,,9
199,1997-2001,1997,2001,10864142.8571,-0.0,7
199,2002-2006,2002,2006,,,7
199,2007-2011,2007,2011,5286124.2514,-8388608.0,7
199,2012-2016,2012,2016,,,8
199,2017-2021,2017,2021,,,8
199,2022-2026,2022,2026,,,8
201,1997-2001,1997,2001,35822000.0,0.0,6
201,2002-2006,2002,2006,,,6
201,2007-2011,2007,2011,5603360.7467,-33554432.0,6
201,2012-2016,2012,2016,,,6
201,2017-2021,2017,2021,58806666.6667,0.0,6
201,2022-2026,2022,2026,,,6
203,1997-2001,1997,2001,10771761.28,-67108864.0,5
203,2002-2006,2002,2006,,,4
203,2007-2011,2007,2011,,,4
203,2012-2016,2012,2016,,,4
203,2017-2021,2017,2021,18861499.84,67108864.0,5
203,2022-2026,2022,2026,,,5
205,1997-2001,1997,2001,36872600.0,0.0,5
205,2002-2006,2002,2006,33865600.0,0.0,5
205,2007-2011,2007,2011,,,5
205,2012-2016,2012,2016,,,5
205,2017-2021,2017,2021,23830954.24,268435456.0,5
205,2022-2026,2022,2026,124730600.0,0.0,5
207,1997-2001,1997,2001,34965000.0,0.0,5
207,2002-2006,2002,2006,,,5
207,2007-2011,2007,2011,46030600.0,-0.0,5
207,2012-2016,2012,2016,,,5
207,2017-2021,2017,2021,,,5
207,2022-2026,2022,2026,,,4
209,1997-2001,1997,2001,,,5
209,2002-2006,2002,2006,,,5
209,2007-2011,2007,2011,,,4
209,2012-2016,2012,2016,-5733544.96,-8388608.0,5
209,2017-2021,2017,2021,,,5
209,2022-2026,2022,2026,14931800.0,-0.0,5
211,1997-2001,1997,2001,,,4
211,2002-2006,2002,2006,,,3
211,2007-2011,2007,2011,,,4
211,2012-2016,2012,2016,,,4
211,2017-2021,2017,2021,,,4
211,2022-2026,2022,2026,,,4
213,1997-2001,1997,2001,,,4
213,2002-2006,2002,2006,,,4
213,2007-2011,2007,2011,,,4
213,2012-2016,2012,2016,,,4
213,2017-2021,2017,2021,,,4
213,2022-2026,2022,2026,,,4
215,1997-2001,1997,2001,,,4
215,2002-2006,2002,2006,,,4
215,2007-2011,2007,2011,,,4
215,2012-2016,2012,2016,,,4
215,2017-2021,2017,2021,,,4
215,2022-2026,2022,2026,,,4
217,1997-2001,1997,2001,,,4
217,2002-2006,2002,2006,,,4
217,2007-2011,2007,2011,,,4
217,2012-2016,2012,2016,,,3
217,2017-2021,2017,2021,,,4
217,2022-2026,2022,2026,,,4
219,1997-2001,1997,2001,,,4
219,2002-2006,2002,2006,4324771.52,-33554432.0,3
219,2007-2011,2007,2011,,,4
219,2012-2016,2012,2016,,,4
219,2017-2021,2017,2021,,,4
219,2022-2026,2022,2026,,,4
221,1997-2001,1997,2001,,,4
221,2002-2006,2002,2006,,,4
221,2007-2011,2007,2011,,,4
221,2012-2016,2012,2016,,,4
221,2017-2021,2017,2021,,,4
221,2022-2026,2022,2026,,,4
223,1997-2001,1997,2001,,,4
223,2002-2006,2002,2006,,,4
223,2007-2011,2007,2011,,,4
223,2012-2016,2012,2016,,,4
223,2017-2021,2017,2021,,,4
223,2022-2026,2022,2026,,,4
225,1997-2001,1997,2001,,,4
225,2002-2006,2002,2006,,,4
225,2007-2011,2007,2011,,,4
225,2012-2016,2012,2016,,,4
225,2017-2021,2017,2021,,,4
225,2022-2026,2022,2026,,,4
227,1997-2001,1997,2001,,,4
227,2002-2006,2002,2006,,,4
227,2007-2011,2007,2011,,,4
227,2012-2016,2012,2016,,,4
227,2017-2021,2017,2021,,,4
227,2022-2026,2022,2026,,,4
229,1997-2001,1997,2001,,,4
229,2002-2006,2002,2006,,,4
229,2007-2011,2007,2011,,,4
229,2012-2016,2012,2016,,,4
229,2017-2021,2017,2021,,,4
229,2022-2026,2022,2026,,,4
231,1997-2001,1997,2001,,,3
231,2002-2006,2002,2006,6762000.0,0.0,3
231,2007-2011,2007,2011,10655333.3333,-0.0,3
231,2012-2016,2012,2016,,,3
231,2017-2021,2017,2021,,,3
231,2022-2026,2022,2026,20750666.6667,0.0,3
233,1997-2001,1997,2001,,,3
233,2002-2006,2002,2006,8015000.0,0.0,3
233,2007-2011,2007,2011,,,3
233,2012-2016,2012,2016,26497666.6667,0.0,3
233,2017-2021,2017,2021,30502666.6667,-0.0,3
233,2022-2026,2022,2026,58512666.6667,0.0,3
235,1997-2001,1997,2001,,,3
235,2002-2006,2002,2006,3758666.6667,0.0,3
235,2007-2011,2007,2011,6171666.6667,-0.0,3
235,2012-2016,2012,2016,17288333.3333,0.0,3
235,2017-2021,2017,2021,7235333.3333,0.0,3
235,2022-2026,2022,2026,,,3
237,1997-2001,1997,2001,1537000.0,0.0,3
237,2002-2006,2002,2006,,,3
237,2007-2011,2007,2011,,,3
237,2012-2016,2012,2016,,,3
237,2017-2021,2017,2021,3066666.6667,-0.0,3
237,2022-2026,2022,2026,2052000.0,0.0,3
239,1997-2001,1997,2001,8312737.8133,67108864.0,3
239,2002-2006,2002,2006,,,2
239,2007-2011,2007,2011,,,2
239,2012-2016,2012,2016,,,2
239,2017-2021,2017,2021,,,2
239,2022-2026,2022,2026,,,2
241,1997-2001,1997,2001,,,2
241,2002-2006,2002,2006,,,2
241,2007-2011,2007,2011,,,2
241,2012-2016,2012,2016,,,2
241,2022-2026,2022,2026,,,2
243,1997-2001,1997,2001,,,2
243,2002-2006,2002,2006,,,2
243,2007-2011,2007,2011,,,2
245,1997-2001,1997,2001,,,2
245,2002-2006,2002,2006,,,2
245,2007-2011,2007,2011,,,2
245,2012-2016,2012,2016,,,2
245,2017-2021,2017,2021,,,2
245,2022-2026,2022,2026,,,2
247,1997-2001,1997,2001,,,2
247,2002-2006,2002,2006,,,2
247,2017-2021,2017,2021,,,2
247,2022-2026,2022,2026,,,2
249,1997-2001,1997,2001,,,2
249,2002-2006,2002,2006,,,2
249,2007-2011,2007,2011,,,2
249,2012-2016,2012,2016,,,2
249,2017-2021,2017,2021,,,2
251,1997-2001,1997,2001,,,2
251,2002-2006,2002,2006,,,2
251,2007-2011,2007,2011,,,2
251,2012-2016,2012,2016,,,2
251,2017-2021,2017,2021,,,2
251,2022-2026,2022,2026,,,2
253,1997-2001,1997,2001,,,2
253,2002-2006,2002,2006,,,2
253,2007-2011,2007,2011,,,2
253,2012-2016,2012,2016,,,2
253,2017-2021,2017,2021,,,2
253,2022-2026,2022,2026,,,2
255,1997-2001,1997,2001,,,2
255,2002-2006,2002,2006,,,2
255,2007-2011,2007,2011,,,2
255,2012-2016,2012,2016,,,2
255,2017-2021,2017,2021,,,2
255,2022-2026,2022,2026,,,2
257,1997-2001,1997,2001,,,2
257,2002-2006,2002,2006,,,2
257,2007-2011,2007,2011,,,2
257,2012-2016,2012,2016,,,2
257,2017-2021,2017,2021,,,2
257,2022-2026,2022,2026,,,2
259,1997-2001,1997,2001,,,2
259,2002-2006,2002,2006,,,2
259,2007-2011,2007,2011,,,2
259,2012-2016,2012,2016,,,2
259,2017-2021,2017,2021,,,2
259,2022-2026,2022,2026,,,2
263,1997-2001,1997,2001,,,2
263,2002-2006,2002,2006,,,2
263,2007-2011,2007,2011,,,2
263,2017-2021,2017,2021,,,2
263,2022-2026,2022,2026,,,2
265,1997-2001,1997,2001,,,2
265,2002-2006,2002,2006,,,2
265,2007-2011,2007,2011,,,2
265,2012-2016,2012,2016,,,2
265,2017-2021,2017,2021,,,2
265,2022-2026,2022,2026,,,2
267,1997-2001,1997,2001,,,2
267,2002-2006,2002,2006,,,2
267,2007-2011,2007,2011,,,2
267,2017-2021,2017,2021,,,2
267,2022-2026,2022,2026,,,2
269,1997-2001,1997,2001,,,2
269,2002-2006,2002,2006,,,2
269,2007-2011,2007,2011,,,2
269,2017-2021,2017,2021,,,2
269,2022-2026,2022,2026,,,2
271,2002-2006,2002,2006,,,2
271,2007-2011,2007,2011,,,2
271,2012-2016,2012,2016,,,2
271,2017-2021,2017,2021,,,2
271,2022-2026,2022,2026,,,2
273,2002-2006,2002,2006,,,2
273,2007-2011,2007,2011,,,2
273,2017-2021,2017,2021,,,2
273,2022-2026,2022,2026,,,2
275,1997-2001,1997,2001,,,2
275,2002-2006,2002,2006,,,2
275,2007-2011,2007,2011,,,2
275,2012-2016,2012,2016,,,2
275,2017-2021,2017,2021,,,2
275,2022-2026,2022,2026,,,2
277,1997-2001,1997,2001,,,2
277,2002-2006,2002,2006,,,2
277,2007-2011,2007,2011,,,2
277,2012-2016,2012,2016,,,2
277,2017-2021,2017,2021,,,2
277,2022-2026,2022,2026,,,2
279,1997-2001,1997,2001,,,2
279,2002-2006,2002,2006,,,2
279,2007-2011,2007,2011,,,2
279,2012-2016,2012,2016,,,2
279,2017-2021,2017,2021,,,2
279,2022-2026,2022,2026,,,2
281,1997-2001,1997,2001,,,2
281,2002-2006,2002,2006,,,2
281,2007-2011,2007,2011,,,2
281,2012-2016,2012,2016,,,2
281,2017-2021,2017,2021,,,2
281,2022-2026,2022,2026,,,2
283,1997-2001,1997,2001,,,2
283,2002-2006,2002,2006,,,2
283,2012-2016,2012,2016,,,2
283,2017-2021,2017,2021,,,2
283,2022-2026,2022,2026,,,2
285,1997-2001,1997,2001,,,2
285,2002-2006,2002,2006,,,2
285,2007-2011,2007,2011,,,2
285,2012-2016,2012,2016,,,2
285,2017-2021,2017,2021,,,2
285,2022-2026,2022,2026,,,2
287,1997-2001,1997,2001,,,2
287,2002-2006,2002,2006,,,2
287,2007-2011,2007,2011,,,2
287,2012-2016,2012,2016,,,2
287,2017-2021,2017,2021,,,2
287,2022-2026,2022,2026,,,2
289,1997-2001,1997,2001,,,2
289,2002-2006,2002,2006,,,2
289,2007-2011,2007,2011,,,2
289,2012-2016,2012,2016,,,2
289,2017-2021,2017,2021,,,2
289,2022-2026,2022,2026,,,2
291,2002-2006,2002,2006,,,2
291,2012-2016,2012,2016,,,2
291,2017-2021,2017,2021,,,2
291,2022-2026,2022,2026,,,2
293,1997-2001,1997,2001,,,2
293,2002-2006,2002,2006,,,2
293,2007-2011,2007,2011,,,2
293,2012-2016,2012,2016,,,2
293,2017-2021,2017,2021,,,2
293,2022-2026,2022,2026,,,2
295,1997-2001,1997,2001,,,2
295,2002-2006,2002,2006,,,2
295,2007-2011,2007,2011,,,2
295,2012-2016,2012,2016,,,2
295,2017-2021,2017,2021,,,2
295,2022-2026,2022,2026,,,2
297,1997-2001,1997,2001,,,2
297,2002-2006,2002,2006,,,2
297,2007-2011,2007,2011,,,2
297,2012-2016,2012,2016,,,2
297,2017-2021,2017,2021,,,2
297,2022-2026,2022,2026,,,2
299,1997-2001,1997,2001,,,2
299,2002-2006,2002,2006,,,2
299,2007-2011,2007,2011,,,2
299,2012-2016,2012,2016,,,2
299,2017-2021,2017,2021,,,2
299,2022-2026,2022,2026,,,2
301,2022-2026,2022,2026,,,2
303,1997-2001,1997,2001,,,2
303,2002-2006,2002,2006,,,2
303,2012-2016,2012,2016,,,2
303,2017-2021,2017,2021,,,2
305,1997-2001,1997,2001,,,2
305,2002-2006,2002,2006,,,2
305,2007-2011,2007,2011,,,2
305,2012-2016,2012,2016,,,2
305,2017-2021,2017,2021,,,2
305,2022-2026,2022,2026,,,2
307,1997-2001,1997,2001,,,2
307,2002-2006,2002,2006,,,2
307,2007-2011,2007,2011,,,2
307,2012-2016,2012,2016,,,2
307,2017-2021,2017,2021,,,2
309,1997-2001,1997,2001,,,2
309,2002-2006,2002,2006,,,2
309,2007-2011,2007,2011,,,2
309,2012-2016,2012,2016,,,2
309,2017-2021,2017,2021,,,2
309,2022-2026,2022,2026,,,2
311,1997-2001,1997,2001,,,2
311,2002-2006,2002,2006,,,2
311,2007-2011,2007,2011,,,2
311,2012-2016,2012,2016,,,2
311,2017-2021,2017,2021,,,2
311,2022-2026,2022,2026,,,2
315,1997-2001,1997,2001,,,2
315,2002-2006,2002,2006,,,2
315,2007-2011,2007,2011,,,2
315,2012-2016,2012,2016,,,2
315,2017-2021,2017,2021,,,2
315,2022-2026,2022,2026,,,2
317,1997-2001,1997,2001,,,2
317,2002-2006,2002,2006,,,2
317,2007-2011,2007,2011,,,2
317,2012-2016,2012,2016,,,2
317,2017-2021,2017,2021,,,2
317,2022-2026,2022,2026,,,2
319,1997-2001,1997,2001,,,2
319,2002-2006,2002,2006,,,2
319,2007-2011,2007,2011,,,2
319,2012-2016,2012,2016,,,2
319,2017-2021,2017,2021,,,2
319,2022-2026,2022,2026,,,2
321,1997-2001,1997,2001,,,2
321,2002-2006,2002,2006,,,2
321,2007-2011,2007,2011,,,2
321,2012-2016,2012,2016,,,2
321,2017-2021,2017,2021,,,2
321,2022-2026,2022,2026,,,2
